PedidoEnviado;Barra;Qtd_Pedido;DataPedido;Qtd_Atendida;Qtd_Atendida_Not;NumeroNotaPedido;Observacao
28094974;7896181924876;3;02/05/2022;0;;;CANCELADO + DE 7 DIAS SEM RETORNO
28094974;7896181927600;6;02/05/2022;0;;;CANCELADO + DE 7 DIAS SEM RETORNO
28108012;7896181904175;12;04/05/2022;0;;;FALTA ESTOQUE
28108012;7896181913306;12;04/05/2022;0;;;FALTA ESTOQUE
28108012;7896181926238;12;04/05/2022;0;;;FALTA ESTOQUE
28108012;7896181928836;50;04/05/2022;0;;;FALTA ESTOQUE
28159862;7896181909460;12;12/05/2022;0;;;FALTA ESTOQUE
28178663;7896181918691;100;16/05/2022;0;;;FALTA ESTOQUE
38093615;7896181925866;2;02/05/2022;0;;;FALTA ESTOQUE
38095671;7896181925149;12;02/05/2022;0;;;FALTA ESTOQUE
38116131;7896181925866;3;05/05/2022;0;;;FALTA ESTOQUE
38116556;7896181922667;8;05/05/2022;0;;;FALTA ESTOQUE
38124427;7896181925859;6;06/05/2022;0;;;PROBLEMAS CADASTRAIS (Cliente Bloqueado)
38131046;7896181913542;3;09/05/2022;0;;;FALTA ESTOQUE
38132741;7896181911159;6;09/05/2022;0;;;FALTA ESTOQUE
38132746;7896181901327;6;09/05/2022;0;;;FALTA ESTOQUE
38132746;7896181924081;12;09/05/2022;0;;;FALTA ESTOQUE
38132850;7896181927068;20;09/05/2022;0;;;PRODUTO NÃO CADASTRADO / DESATIVADO
38141379;7896658018954;12;10/05/2022;0;;;FALTA ESTOQUE
38141472;7896181911036;96;10/05/2022;0;;;FALTA ESTOQUE
38141481;7896181909262;11;10/05/2022;0;;;FALTA ESTOQUE
38159071;7896181925149;3;12/05/2022;0;;;FALTA ESTOQUE
38159852;7896658038334;1;12/05/2022;0;;;FALTA ESTOQUE
38159887;7896181924081;15;12/05/2022;0;;;FALTA ESTOQUE
38159899;7896181911036;48;12/05/2022;0;;;FALTA ESTOQUE
38167188;7896181914303;60;13/05/2022;0;;;FALTA ESTOQUE
38167279;7896181911159;3;13/05/2022;0;;;FALTA ESTOQUE
38173137;7896181913542;6;16/05/2022;0;;;FALTA ESTOQUE
38174800;7896181911128;6;16/05/2022;0;;;FALTA ESTOQUE
38174800;7896181914280;6;16/05/2022;0;;;FALTA ESTOQUE
38174800;7896181924081;6;16/05/2022;0;;;FALTA ESTOQUE
38174876;7896181913542;3;16/05/2022;0;;;FALTA ESTOQUE
38174876;7896181922377;6;16/05/2022;0;;;FALTA ESTOQUE
38174876;7896181928379;3;16/05/2022;0;;;FALTA ESTOQUE
38092878;7896181901006;18;02/05/2022;0;;;FALTA ESTOQUE
38100073;7896181922377;24;03/05/2022;0;;;FALTA ESTOQUE
38106842;7896181926788;1;04/05/2022;0;;;FALTA ESTOQUE
38108444;7896181911159;3;04/05/2022;0;;;FALTA ESTOQUE
38193465;7896181924098;10;18/05/2022;0;;;
38112609;7896181916987;10;05/05/2022;10;10;00432588;PRODUTO FATURADO
38121229;7896181918691;50;06/05/2022;0;;;FALTA ESTOQUE
38123228;7896181924098;12;06/05/2022;0;;;FALTA ESTOQUE
38129965;7896181928683;90;09/05/2022;0;;;FALTA ESTOQUE
38132850;7896181925866;6;09/05/2022;0;;;FALTA ESTOQUE
38140843;7896181909460;12;10/05/2022;0;;;FALTA ESTOQUE
38141481;7896181911036;96;10/05/2022;0;;;FALTA ESTOQUE
38142429;7896181909453;3;10/05/2022;0;;;FALTA ESTOQUE
38142950;7896181927693;10;10/05/2022;0;;;FALTA ESTOQUE
38147875;7896181927068;12;11/05/2022;0;;;PRODUTO NÃO CADASTRADO / DESATIVADO
38147884;7896181914013;3;11/05/2022;3;3;00433695;PRODUTO FATURADO
38159852;7896181909460;30;12/05/2022;0;;;FALTA ESTOQUE
38159852;7896181911715;12;12/05/2022;0;;;FALTA ESTOQUE
38159852;7896181924845;12;12/05/2022;0;;;PRODUTO NÃO CADASTRADO / DESATIVADO
38167188;7896181915034;26;13/05/2022;0;;;FALTA ESTOQUE
38167279;7896181911128;12;13/05/2022;0;;;FALTA ESTOQUE
38174800;7896181915034;20;16/05/2022;0;;;FALTA ESTOQUE
38189575;7896181925866;6;17/05/2022;0;;;FALTA ESTOQUE
38193465;7896181922377;6;18/05/2022;0;;;
38193465;7896181925866;2;18/05/2022;0;;;
18173392;7896181922070;2;16/05/2022;2;2;00434203;PRODUTO FATURADO
18174167;7898574611462;3;16/05/2022;0;;;FALTA ESTOQUE
18185408;7896181909262;6;17/05/2022;6;;;PRODUTO FATURADO
18185408;7896181909453;12;17/05/2022;12;;;PRODUTO FATURADO
28094974;7896181911128;6;02/05/2022;0;;;CANCELADO + DE 7 DIAS SEM RETORNO
28108012;7896181907343;2;04/05/2022;0;;;FALTA ESTOQUE
28108012;7896181909460;24;04/05/2022;0;;;FALTA ESTOQUE
28108012;7896181918424;6;04/05/2022;0;;;FALTA ESTOQUE
28108012;7896181918998;1;04/05/2022;0;;;FALTA ESTOQUE
28108012;7896181919001;1;04/05/2022;0;;;FALTA ESTOQUE
